user_id,action_date
173504,2022-11-25
173561,2022-11-24
173584,2022-11-03
173757,2023-02-16
173779,2022-09-29
173851,2022-07-14
174071,2022-12-16
174109,2022-07-14
174551,2022-11-30
174630,2022-11-03
175156,2022-12-12
175210,2023-03-26
175212,2022-11-22
175222,2022-11-30
175260,2022-11-28
175347,2022-08-19
175511,2022-08-13
175543,2022-11-21
175618,2023-03-01
175764,2022-11-03
175825,2023-03-30
175861,2022-07-24
176020,2022-09-26
176059,2022-08-11
176113,2022-08-15
176182,2022-12-01
176289,2022-11-05
176396,2022-11-21
176622,2023-01-20
176667,2022-10-16
176795,2022-07-31
176829,2022-11-02
176890,2022-08-18
176938,2022-11-22
177055,2022-07-12
177134,2022-11-27
177202,2022-11-29
177307,2022-08-20
177584,2022-08-03
177649,2022-07-09
177761,2022-11-22
177810,2022-07-25
178111,2022-09-06
178120,2022-10-11
178245,2022-07-25
178762,2022-11-25
178842,2022-09-20
178894,2022-10-26
179127,2022-10-31
179785,2022-11-27
179898,2022-07-29
180153,2022-10-11
180393,2022-11-23
181036,2022-08-15
181213,2022-09-30
181233,2022-08-02
181339,2023-02-28
181440,2022-08-02
181503,2023-01-18
181830,2022-07-13
181891,2023-01-02
181902,2022-08-22
181974,2022-11-07
182297,2022-07-26
182468,2022-11-21
182570,2023-01-30
182662,2022-11-24
182752,2022-11-28
182808,2023-01-21
182922,2022-07-27
183176,2022-12-01
183184,2022-11-15
183383,2022-11-29
183867,2022-11-22
183890,2022-08-11
184275,2022-11-01
184308,2022-09-29
184509,2022-08-31
184569,2022-07-19
184588,2022-08-18
184696,2022-11-30
184794,2023-03-28
184827,2022-11-06
184937,2022-11-25
185171,2023-01-17
185208,2023-01-05
185224,2023-01-19
185236,2023-02-04
185406,2022-10-25
185935,2022-11-01
186061,2022-11-24
186186,2022-12-02
187249,2023-01-11
187355,2022-12-23
187638,2023-01-25
187901,2022-08-27
187911,2022-07-22
188404,2022-11-20
188451,2023-01-19
188691,2022-10-02
190170,2022-12-04
190610,2022-07-09
190742,2022-09-09
190803,2022-12-02
190908,2022-11-22
191589,2022-11-28
191753,2022-08-18
192293,2022-11-26
192348,2023-01-13
192383,2022-11-24
192722,2022-11-28
192869,2022-11-26
193156,2022-11-25
193467,2023-01-28
193484,2023-03-25
193522,2022-11-19
193700,2022-11-28
193741,2023-02-25
194043,2022-11-21
195049,2022-11-25
195227,2022-09-16
195830,2022-11-23
196287,2023-02-09
196534,2022-07-03
196950,2022-11-23
197203,2022-11-02
197428,2022-11-22
197475,2022-08-02
197530,2023-01-29
197617,2022-09-24
197639,2022-08-09
197727,2022-08-21
